url,linkText,paragraphText,ranking
https://www.englishon.es/Vocabularios-temario-ingles-cambridge-gratis,Academia English On - Vocabulary Lists,🔝 TOP RESOURCE Vocabularios - C2 C1 B2 B1 A2 - para descargar gratis en PDF,⭐⭐⭐⭐⭐
https://elt.oup.com/general_content/cz/kestazeni/slovnicky?cc=ru&selLanguage=en,PDF Wordlists Download,🦝 Huge amount of PDF Wordlists to ⬇️ Download from many relevant English Books,⭐⭐⭐⭐⭐
https://www.newgeneralservicelist.com/new-general-service-list,The New General Service List (NGSL),🚊 The NGSL 1.2 is a 2809-word list of the most important words of general English and daily life for second language learners,⭐⭐⭐⭐⭐
https://www.linguaeruditio.com/Glossary/NGSL/NGSL_gloss.html,New General Service List 1.20 Learning Dictionary - Alphabetized,🚡 Great way to work with the New General Service List (NGSL) through Lists - Puzzles and more,⭐⭐⭐⭐⭐
https://www.learnenglishfeelgood.com/vocabulary/index.html,Learn English Feel Good - Vocabulary Training,🍉 Lots of Vocabulary Topics and Simple Quizzes to practice,⭐⭐⭐⭐
https://www.caeexamtips.com/blog/viral-vocabulary-2,Viral Vocabulary for CAE and CPE,🦁 Nice Posters with vocabulary lists,⭐⭐⭐⭐
https://dictionaryblog.cambridge.org/,Cambridge Dictionary Blog,😀 Cool blog with New Words and Posts about a wide range of Topics,⭐⭐⭐⭐
https://www.vocabulary.com/lists/52473,Vocabulary.com,☀️ The Vocabulary.com Top 1000 - Cool Interactive learning!,⭐⭐⭐⭐
https://www.youtube.com/playlist?list=PLcdmNZzsBqWE36zNcep6x7WmZgiJNLCXL,Advanced English Vocabulary - YouTube Playlist,🛸 More than 121 videos with Advanced English Vocabulary!,⭐⭐⭐⭐
https://www.englishclub.com/esl-quizzes/vocabulary/,English Club - Vocabulary Quizzes,🚞 Great Vocabulary Quizzes,⭐⭐⭐⭐
https://www.english-grammar-revolution.com/idiomatic-expressions.html,Grammar Revolution - Idiomatic Expressions,😃 25 Common Idiomatic Expressions and Their Meanings,⭐⭐⭐
https://www.tolearnenglish.com/exercises/exercise-english-2/exercise-english-117985.php,To Learn English - Questions with prepositions,🌟 Interactive test to practice prepositions,⭐⭐⭐
https://randomlistgenerator.com/,Random List Generator,🧐 Lots and lots of lists about varied topics to learn and practice vocabulary,⭐⭐⭐
https://trucoslondres.com/aprender-ingles/vocabulario/expresiones-ingles/,Trucos Londres - Vocabulario básico en inglés que debes conocer: Expresiones básicas,🐯 Nice list of Common Expressions,⭐⭐⭐
https://englishstudyhere.com/category/vocabulary/,English Study Here - vocabulary,🛹 Lots of Vocabulary lists and ⬇️ Dowloadable Image Summaries,⭐⭐⭐
https://englishstudyhere.com/category/business-english/,English Study Here - Business English Vocabulary,,⭐⭐⭐
https://quizlet.com/24550990/the-top-100-most-important-words-in-business-english-flash-cards/,FlashCards - The Top 100 Most Important Words in Business English,🚉 Practice and learn these FlashCards on Quizlet,⭐⭐⭐
https://englishpost.org/english-vocabulary/,English Post - Vocabulary,,⭐⭐⭐
https://englishpost.org/most-common-words-in-english/,English Post - The 3000 Most Common Words in English,,⭐⭐⭐
https://www.ego4u.com/en/cram-up/vocabulary,English Grammar Online - Vocabulary lists,🚀 Cool vocabulary lists divided by topics and Interactive exercises,⭐⭐⭐
https://www.wordlistresearch.com/,Word list Research,😛 Long and detailed lists of vocabulary,⭐⭐⭐
https://www.smart-words.org/linking-words/transition-words.html,Smart Words - Transition Words,🛴Great list of Transition Words - used to link words phrases or sentences,⭐⭐⭐
https://www.smart-words.org/,Smart Words,Vocabulary Lists by category,⭐⭐⭐
https://www.eslcafe.com/resources/idioms/,ESL Cafe - Idioms,🌭 List of idioms in alphabetical order,⭐⭐⭐
https://www.learnthat.org/,Learn That Word - Interactive Vocabulary Learning,🦛 Videos - quizzes and more,⭐⭐⭐
https://www.esl-lab.com/esl-vocabulary-quizzes/,ESL-LAB - Vocabulary Quizzes,🍍 Cool vocabulary quizzes with a multitude of topics!,⭐⭐⭐
https://play.freerice.com/categories/english-vocabulary,Free Rice - English Vocabulary,🍩 Simple and Cool vocabulary quiz,⭐⭐⭐
https://www.thoughtco.com/irregular-plural-nouns-in-english-1692634,ThoughtCo - 100 Irregular Plural Nouns in English,🚲 100 Irregular Plural Nouns List,⭐⭐
https://www.randomlists.com/random-vocabulary-words,Random vocabulary words,🌍 Generate Random Vocabulary words to practice spontaneous conversation,⭐⭐
https://daily.wordreference.com/all-words/,WordReference Dictionary - Word of the Day Collections,,⭐⭐
